,importance,p99_high,p99_low
info_poolvilla,41017.78891884173,46788.61230632175,35246.96553136171
info_bogcheung,28418.22301354374,31605.350632921647,25231.09539416583
name,24581.030893666255,28716.6062829606,20445.45550437191
ranking,22410.90469606322,28579.10790105066,16242.701491075779
info_glamping,13665.08632093257,16182.472505696183,11147.700136168958
roomname,13291.572752673232,17492.487673272128,9090.657832074336
info_caravan,11429.72562758514,11788.01320938742,11071.43804578286
max_standard,10354.957259289862,11324.570339914448,9385.344178665277
info_privatehouse,6529.472796955609,8278.174339680996,4780.771254230222
visitor_photo,5060.424548459593,5881.360754903125,4239.488342016061
visitor_entertainment,2935.998127943102,4641.045405158263,1230.9508507279418
info_pension,2786.409080186583,3625.247657558813,1947.5705028143534
info_bathroom,2422.8973153061675,3073.594139003281,1772.200491609054
visitor_clean,1688.0986009444205,2145.2845398166833,1230.9126620721577
info_spa,1639.168833384808,3362.77621109099,-84.43854432137346
visitor_view,1634.7413085702847,2119.6924541148346,1149.7901630257347
info_deck,1612.5411004956418,2391.020173358832,834.0620276324516
info_terrace,1583.9468369221213,2673.7891030478395,494.1045707964031
people_stadard,1490.9730152977313,2014.1663904264258,967.7796401690368
visitor_bbq,1488.1734509334776,1806.4259828504246,1169.9209190165307
visitor_sink,1234.9362554337877,2043.2687519658043,426.60375890177113
info_grass,1199.5060543872228,1693.2496558723246,705.7624529021208
info_oceanview,1187.3028054842991,2426.2639682569825,-51.658357288384195
visitor_bug,1073.5166814961485,1688.1946647900822,458.8386982022149
visitor_maintainance,882.7483049711852,1517.1854893022978,248.31112064007277
visitor_kind,856.9343049459924,1206.1011112460974,507.7674986458873
visitor_rest,851.2263885656048,1299.5372154937004,402.9155616375091
visitor_goodprice,829.1509992553205,1638.8127583652526,19.489240145388294
info_unisex,826.0650543924927,1124.347110608775,527.7829981762105
visitor_parking,819.0713211608927,1094.122892914619,544.0197494071665
visitor_publictransport,775.6337332848136,1165.6318232980611,385.6356432715661
visitor_hotwater,771.600899705034,878.5130389967761,664.6887604132918
visitor_waterplay,727.2342116029835,1389.7180344142648,64.75038879170211
visitor_mannertime,678.4440568834464,954.2141563367538,402.6739574301389
visitor_bathroom,606.842659927503,778.2668867149052,435.4184331401007
visitor_interior,572.451060649578,1385.3428976984023,-240.44077639924626
info_ondolroom,510.1510231723685,831.765738301901,188.53630804283603
homepage,376.90236676834536,633.5763503342534,120.22838320243733
visitor_shade,366.23780720268076,614.2816241767346,118.19399022862694
visitor_wide,346.68600877544884,450.7004780354416,242.6715395154561
visitor_concept,282.3403762797428,867.7855038212393,-303.1047512617537
visitor_child,260.6293769432876,526.3823225941625,-5.12356870758731
visitor_temperature,211.73153017614314,514.7747420179087,-91.31168166562239
visitor_facility,167.26772372921988,564.5809272714209,-230.0454798129811
visitor_noise,160.7777426524881,233.8087727706528,87.74671253432338
visitor_bed,65.96130604527534,229.91313635664238,-97.99052426609171
visitor_pet,24.585555284374276,209.08254546482908,-159.91143489608055
