importance,p99_high,p99_low
21447.518243881892,22928.176535435647,19966.859952328137
20825.212559373867,21732.700262155195,19917.72485659254
18984.61355716027,21384.039117796565,16585.18799652398
15320.719545425201,16411.879873966656,14229.559216883745
13309.200655540311,16868.816705702782,9749.584605377839
13030.877780075745,17343.412266501295,8718.343293650196
12176.106496699822,13591.18325720991,10761.029736189734
11502.850457348159,12926.615973736663,10079.084940959654
8161.08756558566,9599.020153427748,6723.154977743572
6964.880466846281,8020.880392889472,5908.880540803089
4858.482876191682,5808.166283270798,3908.799469112567
4297.946536139823,5006.281086814536,3589.6119854651106
3625.5972232207437,4124.865885057838,3126.3285613836497
3238.45853406868,3810.7671562330916,2666.1499119042683
3230.7953154394936,3774.0510160123586,2687.5396148666287
3047.363558063255,3831.1654829573445,2263.5616331691654
2793.8359812883286,3325.769156155095,2261.902806421562
2088.561699955241,2841.720492518127,1335.4029073923548
1423.6824499066722,1871.416049820606,975.9488499927382
1362.2734069879377,1834.7279465686954,889.81886740718
1323.7288501958508,1776.2989800687237,871.1587203229778
1322.0532382144233,1470.4124669892037,1173.694009439643
1287.532795724658,1699.963783749998,875.101807699318
1283.364666908647,1733.0521340082396,833.6771998090544
1256.230631059328,1853.236612291036,659.2246498276202
1208.5026182809022,1609.1109303991477,807.8943061626567
1103.8870953738601,1721.6208491342309,486.1533416134894
1094.2763968085121,1294.507615477986,894.0451781390381
1030.9082923839862,1563.4395164853395,498.377068282633
933.3550931561938,1470.3635702897982,396.3466160225895
822.203184015429,1040.5619047956927,603.8444632351652
805.1240643969275,1049.866931846282,560.381196947573
798.5980239050343,1072.889028154791,524.3070196552776
751.683161011609,1305.4907649511636,197.87555707205433
666.3512436204797,827.7794100590843,504.9230771818752
605.0168118961144,869.6104744439225,340.4231493483063
474.36525370695307,663.0826136223732,285.647893791533
279.9894043632128,379.88539510181226,180.0934136246134
270.41096323126004,316.7464632895074,224.07546317301268
178.92197633566101,361.67815366699443,-3.834200995672404
172.5948732068373,300.93838356205555,44.251362851619035
123.22700608947852,282.0294946834334,-35.575482504476355
121.92860469317311,149.6747602870682,94.18244909927802
84.17967871371039,121.51065585676989,46.848701570650896
71.39350161393631,217.35952819314096,-74.57252496526834
66.18539122001275,130.04567577226499,2.3251066677605223
63.80863239389983,174.64476338014646,-47.02749859234679
61.17390947918538,139.44402452427903,-17.096205565908278
58.26507139483365,112.1728728859245,4.3572699037427824
56.15182020941138,337.99070446575786,-225.68706404693512
43.61298803975369,162.50483046175736,-75.27885438225
41.88933486039423,107.76412347472886,-23.985453753940405
33.32418091086911,54.73123276447173,11.917129057266493
15.337876569934451,72.75627743624096,-42.08052429637207
